maskType,partType,positionLtoR,X,Y,,,
11inTo99,LX,1,1.285,0.95,,,
11inTo99,LX,2,6.035,0.95,,Notes:,In inches
11inTo99,LX,3,10.785,0.95,,,
11inTo99,LX,4,0.785,7.085,,,
11inTo99,LX,5,6.035,7.085,,,
11inTo99,PS,1,7.355,7.467,,,
15inTo9,LX,1,2.579,1,,,
15inTo9,PS,1,6.718,7.41,,,
15inTo99,LX,1,1.91,1.704,,,
15inTo99,LX,2,7.7225,1.704,,,
15inTo99,LX,3,13.535,1.704,,,
15inTo99,LX,4,1.91,7.839,,,
15inTo99,PS,1,10.8205,10.6578,,,
18inTo9,LX,1,1.3756,1.1304,,,
18inTo9,LX,2,7.3257,1.1304,,,
18inTo9,PS,1,3.7736,13.2265,,,
18inTo99,LX,1,2.11,2.7615,,,
18inTo99,LX,2,8.06,2.7615,,,
18inTo99,LX,3,14.01,2.7615,,,
18inTo99,LX,4,19.96,2.7615,,,
18inTo99,PS,1,16.945,13.731,,,
18inTo99,PS,2,0.41,13.731,,,
24inTo9,LX,1,2.576,3.504,,,
24inTo9,LX,2,8.994,3.504,,,
24inTo9,LX,3,2.576,11.166,,,
24inTo9,LX,4,8.994,11.166,,,
24inTo9,PS,1,6.445,19.731,,,
24inTo99,LX,1,2.576,3.504,,,
24inTo99,LX,2,10.1103,3.504,,,
24inTo99,LX,3,18.4498,3.504,,,
24inTo99,LX,4,25.994,3.504,,,
24inTo99,LX,5,2.576,11.166,,,
24inTo99,LX,6,10.1103,11.166,,,
24inTo99,LX,7,18.4498,11.166,,,
24inTo99,LX,8,25.994,11.166,,,
24inTo99,PS,1,22.945,19.731,,,
24inTo99,PS,2,0.91,19.731,,,
30inTo9,LX,1,1.25,0.704,,,
30inTo9,LX,2,7.2,0.704,,,
30inTo9,LX,3,13.15,0.704,,,
30inTo9,PS,1,8.52,8.046,,,
10inFPoss,LX,1,1.25,1.5,,,
10inFPoss,LX,2,7.2,1.5,,,
10inFPoss,LX,3,13.15,1.5,,,
10inFPoss,PS,1,8.52,8.046,,,
15inHETo9,LX,1,0.206,1.626,,,
15inHETo9,LX,2,5.456,1.626,,,
15inHETo9,LX,3,10.706,1.626,,,
15inHETo9,LX,4,15.956,1.626,,,
15inHETo9,LX,5,21.206,1.626,,,
15inHETo9,LX,6,26.456,1.626,,,
15inHETo9,LX,7,0.206,8.761,,,
15inHETo9,LX,8,5.456,8.761,,,
15inHETo9,PS,1,21.741,11.343,,,
15inHETo9,PS,2,9.5774,11.343,,,
9inClock,LX,1,1,0.5,,,
9inClock,LX,2,5.8173,0.5,,,
9inClock,PS,1,19,4.2,,,
9inPenClock,LX,1,2.5375,2,,,
9inPenClock,LX,2,8.825,2,,,
9inPenClock,LX,3,15.211,2,,,
12inClock,LX,1,7.6902,0.1535,,,measured to face opening
12inClock,LX,2,12.4777,0.1535,,,
12inClock,LX,3,17.2652,0.1535,,,
12inClock,LX,4,22.0527,0.1535,,,
12inClock,LX,5,26.8402,0.1535,,,
12inClock,PS,1,26.7532,8.1214,,,
12inClock,PS,2,0.1475,8.1214,,,
16inClock,LX,1,7.6902,3.1535,,,
16inClock,LX,2,12.4777,3.1535,,,
16inClock,LX,3,17.2652,3.1535,,,
16inClock,LX,4,22.0527,3.1535,,,
16inClock,LX,5,26.8402,3.1535,,,
16inClock,PS,1,26.7532,11.1214,,,
16inClock,PS,2,0.1475,11.1214,,,
INDOOR,,,,,,,
LX7406,LX,1,4.975,2.125,,,
LX7406,PS,1,11.4104,4.4689,,,
LX2160,LX,1,4.666,13.6,,,
LX2160,PS,1,14,20,,,
LX2180,LX,1,8.165,12.593,,,
LX2180,PS,1,18,19,,,
6inTo99_amber,LX,1,2.825,1.1945,,,
6inTo99_red,PS,1,0,2,,,
9pix_END,PS,1,4,5,,ETN driver graphics are handled by the LX class in the addToChassis method,
14pix_END,PS,1,4,9.5,,ETN driver graphics are handled by the LX class in the addToChassis method,
14pix_END,PS,2,4,5,,ETN driver graphics are handled by the LX class in the addToChassis method,
14pix_END,PS,3,4,1,,ETN driver graphics are handled by the LX class in the addToChassis method,
