pcbSize,pcbType,RefDes,X,Y,segment,boundingX,boundingY,boundingWidth,boundingHeight,,
0,scorelink,1,0,0,I,-0.53,0.3,3.093,4.35,,
18,digit,1,0,0,A,-1275,375,12000,18000,,always make RefDes 1 the origin
18,digit,2,1200,0,A,-1275,375,12000,18000,,all dimensions are in mils except pcbSize is in inches
18,digit,3,2400,0,A,-1275,375,12000,18000,,
18,digit,4,3600,0,A,-1275,375,12000,18000,,
18,digit,5,4800,0,A,-1275,375,12000,18000,,
18,digit,6,6000,0,A,-1275,375,12000,18000,,
18,digit,7,7200,0,A,-1275,375,12000,18000,,
18,digit,8,8400,0,A,-1275,375,12000,18000,,
18,digit,9,9650,-200,B,-1275,375,12000,18000,,
18,digit,10,500,-500,A,-1275,375,12000,18000,,
18,digit,11,1700,-500,A,-1275,375,12000,18000,,
18,digit,12,3000,-500,A,-1275,375,12000,18000,,
18,digit,13,4200,-500,A,-1275,375,12000,18000,,
18,digit,14,5400,-500,A,-1275,375,12000,18000,,
18,digit,15,6700,-500,A,-1275,375,12000,18000,,
18,digit,16,7900,-500,A,-1275,375,12000,18000,,
18,digit,17,9150,-700,B,-1275,375,12000,18000,,
18,digit,18,1000,-1000,A,-1275,375,12000,18000,,
18,digit,19,2275,-1000,A,-1275,375,12000,18000,,
18,digit,20,3550,-1000,A,-1275,375,12000,18000,,
18,digit,21,4850,-1000,A,-1275,375,12000,18000,,
18,digit,22,6125,-1000,A,-1275,375,12000,18000,,
18,digit,23,7400,-1000,A,-1275,375,12000,18000,,
18,digit,24,-200,-1250,F,-1275,375,12000,18000,,
18,digit,25,8650,-1200,B,-1275,375,12000,18000,,
18,digit,26,9650,-1400,B,-1275,375,12000,18000,,
18,digit,27,1500,-1500,A,-1275,375,12000,18000,,
18,digit,28,2850,-1500,A,-1275,375,12000,18000,,
18,digit,29,4200,-1500,A,-1275,375,12000,18000,,
18,digit,30,5550,-1500,A,-1275,375,12000,18000,,
18,digit,31,6900,-1500,A,-1275,375,12000,18000,,
18,digit,32,300,-1750,F,-1275,375,12000,18000,,
18,digit,33,8150,-1700,B,-1275,375,12000,18000,,
18,digit,34,9150,-1900,B,-1275,375,12000,18000,,
18,digit,35,800,-2250,F,-1275,375,12000,18000,,
18,digit,36,-200,-2500,F,-1275,375,12000,18000,,
18,digit,37,8650,-2475,B,-1275,375,12000,18000,,
18,digit,38,9650,-2600,B,-1275,375,12000,18000,,
18,digit,39,1300,-2750,F,-1275,375,12000,18000,,
18,digit,40,300,-3000,F,-1275,375,12000,18000,,
18,digit,41,8150,-3050,B,-1275,375,12000,18000,,
18,digit,42,9150,-3200,B,-1275,375,12000,18000,,
18,digit,43,800,-3600,F,-1275,375,12000,18000,,
18,digit,44,-200,-3800,F,-1275,375,12000,18000,,
18,digit,45,8650,-3750,B,-1275,375,12000,18000,,
18,digit,46,9650,-3800,B,-1275,375,12000,18000,,
18,digit,47,1300,-4200,F,-1275,375,12000,18000,,
18,digit,48,300,-4300,F,-1275,375,12000,18000,,
18,digit,49,8150,-4400,B,-1275,375,12000,18000,,
18,digit,50,9150,-4400,B,-1275,375,12000,18000,,
18,digit,51,800,-4950,F,-1275,375,12000,18000,,
18,digit,52,9650,-5000,B,-1275,375,12000,18000,,
18,digit,53,-200,-5050,F,-1275,375,12000,18000,,
18,digit,54,8650,-5050,B,-1275,375,12000,18000,,
18,digit,55,300,-5550,F,-1275,375,12000,18000,,
18,digit,56,9150,-5600,B,-1275,375,12000,18000,,
18,digit,57,1300,-5650,F,-1275,375,12000,18000,,
18,digit,58,8150,-5750,B,-1275,375,12000,18000,,
18,digit,59,-200,-6350,F,-1275,375,12000,18000,,
18,digit,60,800,-6300,F,-1275,375,12000,18000,,
18,digit,61,8650,-6325,B,-1275,375,12000,18000,,
18,digit,62,9650,-6300,B,-1275,375,12000,18000,,
18,digit,63,300,-6850,F,-1275,375,12000,18000,,
18,digit,64,9150,-6900,B,-1275,375,12000,18000,,
18,digit,65,1300,-7100,F,-1275,375,12000,18000,,
18,digit,66,8150,-7100,B,-1275,375,12000,18000,,
18,digit,67,-200,-7600,F,-1275,375,12000,18000,,
18,digit,68,800,-7600,F,-1275,375,12000,18000,,
18,digit,69,2125,-7600,G,-1275,375,12000,18000,,
18,digit,70,3425,-7600,G,-1275,375,12000,18000,,
18,digit,71,4725,-7600,G,-1275,375,12000,18000,,
18,digit,72,6025,-7600,G,-1275,375,12000,18000,,
18,digit,73,7325,-7600,G,-1275,375,12000,18000,,
18,digit,74,8650,-7600,B,-1275,375,12000,18000,,
18,digit,75,9650,-7600,B,-1275,375,12000,18000,,
18,digit,76,300,-8100,F,-1275,375,12000,18000,,
18,digit,77,1625,-8100,G,-1275,375,12000,18000,,
18,digit,78,2875,-8100,G,-1275,375,12000,18000,,
18,digit,79,4125,-8100,G,-1275,375,12000,18000,,
18,digit,80,5325,-8100,G,-1275,375,12000,18000,,
18,digit,81,6575,-8100,G,-1275,375,12000,18000,,
18,digit,82,7825,-8100,G,-1275,375,12000,18000,,
18,digit,83,9150,-8100,B,-1275,375,12000,18000,,
18,digit,84,1125,-8625,G,-1275,375,12000,18000,,
18,digit,85,2325,-8625,G,-1275,375,12000,18000,,
18,digit,86,3525,-8625,G,-1275,375,12000,18000,,
18,digit,87,4725,-8625,G,-1275,375,12000,18000,,
18,digit,88,5925,-8625,G,-1275,375,12000,18000,,
18,digit,89,7125,-8625,G,-1275,375,12000,18000,,
18,digit,90,8325,-8625,G,-1275,375,12000,18000,,
18,digit,91,300,-9150,E,-1275,375,12000,18000,,
18,digit,92,1625,-9150,G,-1275,375,12000,18000,,
18,digit,93,2875,-9150,G,-1275,375,12000,18000,,
18,digit,94,4125,-9150,G,-1275,375,12000,18000,,
18,digit,95,5325,-9150,G,-1275,375,12000,18000,,
18,digit,96,6575,-9150,G,-1275,375,12000,18000,,
18,digit,97,7825,-9150,G,-1275,375,12000,18000,,
18,digit,98,9150,-9150,C,-1275,375,12000,18000,,
18,digit,99,-200,-9650,E,-1275,375,12000,18000,,
18,digit,100,800,-9650,E,-1275,375,12000,18000,,
18,digit,101,8650,-9650,C,-1275,375,12000,18000,,
18,digit,102,9650,-9650,C,-1275,375,12000,18000,,
18,digit,103,1300,-10150,E,-1275,375,12000,18000,,
18,digit,104,8150,-10150,C,-1275,375,12000,18000,,
18,digit,105,300,-10400,E,-1275,375,12000,18000,,
18,digit,106,9150,-10350,C,-1275,375,12000,18000,,
