FUNCTION,BUTTON_NAME
addPlayer,ADD%PLAYER
assignError,ASSIGN%ERROR
autoHorn,AUTO%HORN
ballsPlusOne,BALL%+1
blank,
clear,CLEAR
clear_FlashHit,CLEAR%--------------%FLASH%HIT
clear_GuestGoal,CLEAR%--------------%GUEST%GOAL
clockUpDown,CLOCK%UP /%DOWN
deletePlayer,DELETE%PLAYER
displaySize,DISPLAY%SIZE
downsPlusOne,DOWN%+1
editPlayer,EDIT%PLAYER
enter,ENTER
enter_FlashError,ENTER%--------------%FLASH%ERROR
enter_HomeGoal,ENTER%--------------%HOME%GOAL
errorsPlusOne,ERRORS%+1
flashErrorIndicator,ERROR
flashHitIndicator,HIT
fouls_digsMinusOne,FOULS%/DIGS%-1
fouls_digsPlusOne,FOULS%/DIGS%+1
guest_homeSwitch,GUEST/%HOME%SWITCH
guestBonus,GUEST%BONUS
guestKicksPlusOne,GUEST%CORNER%KICKS +1
guestPenalty,GUEST%PENALTY
guestPenaltyPlusOne,GUEST%PENALTY%+1
guestPitchesPlusOne,GUEST%PITCHES%+1
guestSavesPlusOne,GUEST%SAVES%+1
guestScorePlusOne,GUEST%SCORE%+1
guestScorePlusTen,GUEST%SCORE%+10
guestShotsPlusOne,GUEST%SHOTS%+1
guestTeamFoulsPlusOne,GUEST%TEAM%FOULS%+1
guestTimeOutsMinusOne,GUEST%TIME%OUTS
hitsPlusOne,HIT%+1
homeBonus,HOME%BONUS
homeKicksPlusOne,HOME%CORNER%KICKS +1
homePenalty,HOME%PENALTY
homePenaltyPlusOne,HOME%PENALTY%+1
homePitchesPlusOne,HOME%PITCHES%+1
homeSavesPlusOne,HOME%SAVES%+1
homeScorePlusOne,HOME%SCORE%+1
homeScorePlusTen,HOME%SCORE%+10
homeShotsPlusOne,HOME%SHOTS%+1
homeTeamFoulsPlusOne,HOME%TEAM%FOULS%+1
homeTimeOutsMinusOne,HOME%TIME%OUTS
horn,HORN
incInningTop_Bot,INC.%INNING%TOP / BOT
inningsPlusOne,INNING%+1
minutesMinusOne,MIN%-1
NewGame,NEW%GAME
nextPlayer,NEXT%PLAYER%\/
None,
Number_0_&-.!,0%&&-.!
Number_1_STU,1%STU
Number_2_VWX,2%VWX
Number_3_YZ,3%YZ
Number_4_JKL,4%JKL
Number_5_MNO,5%MNO
Number_6_PQR,6%PQR
Number_7_ABC,7%ABC
Number_8_DEF,8%DEF
Number_9_GHI,9%GHI
outsPlusOne,OUT%+1
oversPlusOne,OVERS%+1
periodClockOnOff,CLOCK%ON /%OFF
periodClockReset,CLOCK%RESET
play_shotClocks,PLAY /%SHOT%CLOCKS
playClocks,PLAY%CLOCKS
player1ScorePlusOne,GUEST%SCORE%+1
player2ScorePlusOne,HOME%SCORE%+1
playerFoul,PLAYER%FOUL
playerMatchGame,PLAYER%MATCH%GAME
points_killsMinusOne,POINTS%/KILLS%-1
points_killsPlusOne,POINTS%/KILLS%+1
possession,POSS%<  >
previousPlayer,/\%PREV.%PLAYER
qtrs_periodsPlusOne,QTR. /%PERIOD%+1
quartersPlusOne,QTR%+1
runsPlusOne,RUNS%+1
secondsMinusOne,SEC%-1
secondsPlusOne,SEC%+1
setBallOn,BALL%ON
setBatterNumber,BATTER%NUMBER
setClock,SET%CLOCK
setClockTenthSec,SET%CLOCK%.1 SEC
setGuestFunctions,SET%GUEST%FUNCS
setGuestScore,SET%GUEST%SCORE
setGuestTimeOuts,SET%GUEST%TIME%OUTS
setHomeFunctions,SET%HOME%FUNCS
setHomeScore,SET%HOME%SCORE
setHomeTimeOuts,SET%HOME%TIME%OUTS
setInningTop_Bot,SET%INNING%TOP / BOT
setPitchCounts,SET%PITCH%COUNTS
setRuns_Innings,SET%RUNS /%INNING
setTotalErrors,SET%TOTAL%ERRORS
setTotalHits,SET%TOTAL%HITS
setTotalRuns,SET%TOTAL%RUNS
setYardsToGo,YARDS%TO GO
shotClocks,SHOT%CLOCKS
singlePitchesPlusOne,PITCHES%+1
strikesPlusOne,STRIKE%+1
subPlayer,SUB.%PLAYER
tenthSecOnOff,.1 SEC%ON /%OFF
timeOfDay,TIME%OF%DAY
timeOutTimer,TIME%OUT%TIMER
wicketsPlusOne,WICKETS%+1
yardsToGoMinusOne,TO GO%-1
yardsToGoMinusTen,TO GO%-10
yardsToGoReset,TO GO%RESET
teamAtBat,TEAM%AT BAT
handheldButton1,RESET%1
handheldButton2,RESET%2
handheldButton3,RUN/%STOP
guestScoreMinusOne,GUEST%-1
homeScoreMinusOne,HOME%-1
mode,MODE
