model,mask_ID,boardWidth,boardHeight,X,Y,qtyOfCabinets,positionTopToBot,,
LX1020,teamOneScore,60,35,4.25,7.75,1,1,,
LX1020,inning,60,35,25.625,2.25,1,1,,Notes:
LX1020,teamTwoScore,60,35,38.25,7.75,1,1,,Half panel add 8 for next panel
LX1020,ball,60,35,2.625,28.0625,1,1,,End panel on left add 14.65 for next panel
LX1020,strike,60,35,22.625,28.0625,1,1,,Regular panels add 13.6 for next panel
LX1020,out,60,35,42.625,28.0625,1,1,,
LX1020,scorelink,60,35,38.4535,28.325,1,1,,
,,,,,,,,,
LX1030,teamOneScore,96,48,5.25,9.75,1,1,,
LX1030,inning,96,48,41,2,1,1,,
LX1030,teamTwoScore,96,48,63.25,9.75,1,1,,
LX1030,ball,96,48,5.25,39.75,1,1,,
LX1030,strike,96,48,39,39.75,1,1,,
LX1030,out,96,48,72.75,39.75,1,1,,
LX1030,scorelink,96,48,57.5783,14.6,1,1,,
,,,,,,,,,
LX1050,teamOneScore,72,35,2.25,6.125,1,1,,
LX1050,inning,72,35,30.75,1,1,1,,
LX1050,teamTwoScore,72,35,48.875,6.125,1,1,,
LX1050,ball,72,35,5.3132,29.1249,1,1,,
LX1050,strike,72,35,28.6252,29.1249,1,1,,
LX1050,out,72,35,51.9372,29.1249,1,1,,
LX1050,scorelink,72,35,43.8283,10.4752,1,1,,
,,,,,,,,,
LX1060,teamOne2ETN,120,60,5.35,3.3765,1,1,,
LX1060,teamOne1ETN,120,60,20,3.3765,1,1,,
LX1060,teamTwo2ETN,120,60,85.35,3.3765,1,1,,
LX1060,teamTwo1ETN,120,60,100,3.3765,1,1,,
LX1060,teamOneScore,120,60,6.25,15,1,1,,
LX1060,hit,120,60,39.5,8,1,1,,
LX1060,inning,120,60,53,4,1,1,,
LX1060,error,120,60,72.5,8,1,1,,
LX1060,teamTwoScore,120,60,86.25,15,1,1,,
LX1060,ball,120,60,11,50,1,1,,
LX1060,strike,120,60,51,50,1,1,,
LX1060,out,120,60,91,50,1,1,,
LX1060,scorelink,120,60,81.8285,28.8889,1,1,,
,,,,,,,,,
LX1062,minutes,36,42,4.25,3,1,1,,
LX1062,scorelink,36,42,16.4535,33.4,1,1,,
,,,,,,,,,
LX1064,minutes,84,36,12.25,8,1,1,,
LX1064,seconds ,84,36,44.25,8,1,1,,
LX1064,scorelink,84,36,74.4535,15.825,1,1,,
,,,,,,,,,
LX1070,teamOne4ETN,192,60,7.0752,6.125,1,1,,
LX1070,teamOne3ETN,192,60,15.0752,6.125,1,1,,
LX1070,teamOne2ETN,192,60,28.6752,6.125,1,1,,
LX1070,teamOne1ETN,192,60,42.2752,6.125,1,1,,
LX1070,teamTwo4ETN,192,60,135.0743,6.125,1,1,,
LX1070,teamTwo3ETN,192,60,143.0743,6.125,1,1,,
LX1070,teamTwo2ETN,192,60,156.6743,6.125,1,1,,
LX1070,teamTwo1ETN,192,60,170.2743,6.125,1,1,,
LX1070,teamOneScore,192,60,18.25,19,1,1,,
LX1070,hit,192,60,66,9.5,1,1,,
LX1070,inning,192,60,86,6,1,1,,
