SPORT,SPORT_TYPE,ADDRESS_WORD_NUMBER,ALT,GROUP,BANK,WORD,I_BIT,H_BIT,HIGH_NIBBLE,LOW_NIBBLE,BLANK_TYPE,SEGMENT_DATA,
MMBASEBALL3,baseball,1,1,1,1,1,periodHorn,0,secondsTens,secondsUnits,0,,
MMBASEBALL3,baseball,1,2,1,1,1,periodHorn,0,minutesTens,minutesUnits,0,,
MMBASEBALL3,baseball,1,4,1,1,1,periodHorn,0,timeOfDayClock_minutesTens,timeOfDayClock_minutesUnits,0,,
MMBASEBALL3,baseball,2,1,1,1,2,periodHorn,0,minutesTens,minutesUnits,0,,
MMBASEBALL3,baseball,2,2,1,1,2,periodHorn,0,blank,blank,0,,
MMBASEBALL3,baseball,2,4,1,1,2,periodHorn,0,timeOfDayClock_hoursTens,timeOfDayClock_hoursUnits,0,,
MMBASEBALL3,baseball,3,1,1,1,3,colonIndicator,0,,hoursUnits,L,,
MMBASEBALL3,baseball,3,2,1,1,3,colonIndicator,0,,hoursUnits,0,,
MMBASEBALL3,baseball,4,1,1,1,4,active,0,,blank,0,,
,,,,,,,,,,,,,
MMBASEBALL3,baseball,5,1,1,2,1,inningTens,0,teamTwoScoreTens,teamTwoScoreUnits,0,,
MMBASEBALL3,baseball,5,2,1,2,1,teamTwoScoreTens,0,inningUnits,teamTwoScoreUnits,0,,
MMBASEBALL3,baseball,6,1,1,2,2,errorIndicator,0,teamOneScoreTens,teamOneScoreUnits,0,,
MMBASEBALL3,baseball,6,2,1,2,2,teamOneScoreTens,0,inningTens,teamOneScoreUnits,0,,
MMBASEBALL3,baseball,7,1,1,2,3,hitIndicator,1,,inningUnits,0,,
MMBASEBALL3,baseball,7,2,1,2,3,hitIndicator,errorIndicator,,0,0,BSO,
MMBASEBALL3,baseball,8,1,1,2,4,active,0,,0,0,BSO,
MMBASEBALL3,baseball,8,2,1,2,4,active,0,,0,0,0,
,,,,,,,,,,,,,
MMBASEBALL3,baseball,9,1,1,3,1,inningTens,0,teamTwoScoreTens,teamTwoScoreUnits,0,,
