model,pcbValue,addressWord,LXDriver,LXHeader,pcbSize,pcbType,maskType,mask_ID,dataOrder,positionRtoL,lxPosition,psWires,psChassis,psPosition,psLabel,chassisMask,
LX1020,teamTwoScoreTens,25,LX22,J5,11,digit,11inTo99,teamTwoScore,1,2,1,1,1,1,1,teamTwoScore,
LX1020,teamTwoScoreUnits,25,LX22,J4,11,digit,11inTo99,teamTwoScore,1,1,1,1,1,1,1,teamTwoScore,If a model has two of the same LXs then add _2 to it.
LX1020,inningUnits,27,LX22,J8,11,digit,11inTo9,inning,1,1,1,1,1,1,1,teamTwoScore,
LX1020,teamOneScoreTens,26,LX22,J9,11,digit,11inTo99,teamOneScore,1,2,1,1,1,1,1,teamTwoScore,ETN panels must be in correct order from highest to lowest for each team for it to work on the simulator.
LX1020,teamOneScoreUnits,26,LX22,J6,11,digit,11inTo99,teamOneScore,1,1,1,1,1,1,1,teamTwoScore,
LX1020,ballBullets,28,LX22,J10,3,ball,3inBall,ball,1,1,1,1,1,1,1,teamTwoScore,ETN drivers are powered by the lxPosition column instead of the psChassis column
LX1020,strikeBullets,28,LX22,J10,3,strike,3inStrike,strike,1,1,1,1,1,1,1,teamTwoScore,
LX1020,outBullets,28,LX22,J10,3,out,3inOut,out,1,1,1,1,1,1,1,teamTwoScore,"double check addressWord, found some LX8 linescore that are wrong"
LX1020,scorelink,28,LX22,J10,0,scorelink,scorelink,scorelink,1,1,1,1,1,1,1,teamTwoScore,
,,,,,,,,,,,,,,,,,
LX1030,teamTwoScoreTens,25,LX22,J5,18,digit,18inTo99,teamTwoScore,1,2,1,1,1,1,1,teamTwoScore,
LX1030,teamTwoScoreUnits,25,LX22,J4,18,digit,18inTo99,teamTwoScore,1,1,1,1,1,1,1,teamTwoScore,
LX1030,inningUnits,27,LX22,J8,18,digit,18inTo9,inning,1,1,1,1,1,1,1,teamTwoScore,
LX1030,teamOneScoreTens,26,LX22,J9,18,digit,18inTo99,teamOneScore,1,2,1,1,1,1,1,teamTwoScore,
LX1030,teamOneScoreUnits,26,LX22,J6,18,digit,18inTo99,teamOneScore,1,1,1,1,1,1,1,teamTwoScore,
LX1030,ballBullets,28,LX22,J10,4,ball,4inBall,ball,1,1,1,1,1,1,1,teamTwoScore,
LX1030,strikeBullets,28,LX22,J10,4,strike,4inStrike,strike,1,1,1,1,1,1,1,teamTwoScore,
LX1030,outBullets,28,LX22,J10,4,out,4inOut,out,1,1,1,1,1,1,1,teamTwoScore,
