KEYPAD,B8,B7,B6,B5,B4,B3,B2,B1,C8,C7,C6,C5,C4,C3,C2,C1,D8,D7,D6,D5,D4,D3,D2,D1,E8,E7,E6,E5,E4,E3,E2,E1,F8,F7,F6,F5,F4,F3,F2,F1,
MM_BASEBALL_G_H_CX4,guestScorePlusTen,guestScorePlusOne,NewGame,homeScorePlusTen,homeScorePlusOne,None,None,None,flashHitIndicator,minutesMinusOne,periodClockReset,periodClockOnOff,secondsMinusOne,flashErrorIndicator,None,None,ballsPlusOne,strikesPlusOne,outsPlusOne,inningsPlusOne,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MM_BASEBALL_H_G_CX4,homeScorePlusTen,homeScorePlusOne,NewGame,guestScorePlusTen,guestScorePlusOne,None,None,None,flashHitIndicator,minutesMinusOne,periodClockReset,periodClockOnOff,secondsMinusOne,flashErrorIndicator,None,None,ballsPlusOne,strikesPlusOne,outsPlusOne,inningsPlusOne,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MM_FOOTBALL_G_H_CX4,guestScorePlusTen,guestScorePlusOne,NewGame,homeScorePlusTen,homeScorePlusOne,None,None,None,downsPlusOne,minutesMinusOne,periodClockReset,secondsPlusOne,secondsMinusOne,qtrs_periodsPlusOne,None,None,yardsToGoReset,yardsToGoMinusTen,yardsToGoMinusOne,periodClockOnOff,None,None,None,None,None,None,None,None,None,None,None,None,None,handheldButton1,None,handheldButton2,None,handheldButton3,None,None,None
MM_FOOTBALL_H_G_CX4,homeScorePlusTen,homeScorePlusOne,NewGame,guestScorePlusTen,guestScorePlusOne,None,None,None,downsPlusOne,minutesMinusOne,periodClockReset,secondsPlusOne,secondsMinusOne,qtrs_periodsPlusOne,None,None,yardsToGoReset,yardsToGoMinusTen,yardsToGoMinusOne,periodClockOnOff,None,None,None,None,None,None,None,None,None,None,None,None,None,handheldButton1,None,handheldButton2,None,handheldButton3,None,None,None
MM_COMBO_G_H_CX4_baseball,guestScorePlusTen,guestScorePlusOne,NewGame,homeScorePlusTen,homeScorePlusOne,None,None,None,blank,minutesMinusOne,periodClockReset,secondsPlusOne,secondsMinusOne,inningsPlusOne,None,None,ballsPlusOne,strikesPlusOne,outsPlusOne,periodClockOnOff,None,None,None,None,None,None,None,None,None,None,None,None,None,handheldButton1,None,handheldButton2,None,handheldButton3,None,None,None
MM_COMBO_H_G_CX4_baseball,homeScorePlusTen,homeScorePlusOne,NewGame,guestScorePlusTen,guestScorePlusOne,None,None,None,blank,minutesMinusOne,periodClockReset,secondsPlusOne,secondsMinusOne,inningsPlusOne,None,None,ballsPlusOne,strikesPlusOne,outsPlusOne,periodClockOnOff,None,None,None,None,None,None,None,None,None,None,None,None,None,handheldButton1,None,handheldButton2,None,handheldButton3,None,None,None
MM_COMBO_G_H_CX4_football,guestScorePlusTen,guestScorePlusOne,NewGame,homeScorePlusTen,homeScorePlusOne,None,None,None,downsPlusOne,minutesMinusOne,periodClockReset,secondsPlusOne,secondsMinusOne,quartersPlusOne,None,None,yardsToGoReset,yardsToGoMinusTen,yardsToGoMinusOne,periodClockOnOff,None,None,None,None,None,None,None,None,None,None,None,None,None,handheldButton1,None,handheldButton2,None,handheldButton3,None,None,None
MM_COMBO_H_G_CX4_football,homeScorePlusTen,homeScorePlusOne,NewGame,guestScorePlusTen,guestScorePlusOne,None,None,None,downsPlusOne,minutesMinusOne,periodClockReset,secondsPlusOne,secondsMinusOne,quartersPlusOne,None,None,yardsToGoReset,yardsToGoMinusTen,yardsToGoMinusOne,periodClockOnOff,None,None,None,None,None,None,None,None,None,None,None,None,None,handheldButton1,None,handheldButton2,None,handheldButton3,None,None,None
MP_BASESOFT_G_H_CX4,setClock,setClockTenthSec,tenthSecOnOff,clockUpDown,Number_7_ABC,Number_8_DEF,Number_9_GHI,teamAtBat,blank,autoHorn,timeOfDay,timeOutTimer,Number_4_JKL,Number_5_MNO,Number_6_PQR,NewGame,ballsPlusOne,strikesPlusOne,outsPlusOne,setPitchCounts,Number_1_STU,Number_2_VWX,Number_3_YZ,setBatterNumber,setGuestScore,setHomeScore,guestPitchesPlusOne,homePitchesPlusOne,clear_FlashHit,Number_0_&-.!,enter_FlashError,assignError,guestScorePlusOne,handheldButton1,homeScorePlusOne,handheldButton2,inningsPlusOne,handheldButton3,horn,periodClockOnOff,None
MP_BASESOFT_H_G_CX4,setClock,setClockTenthSec,tenthSecOnOff,clockUpDown,Number_7_ABC,Number_8_DEF,Number_9_GHI,teamAtBat,blank,autoHorn,timeOfDay,timeOutTimer,Number_4_JKL,Number_5_MNO,Number_6_PQR,NewGame,ballsPlusOne,strikesPlusOne,outsPlusOne,setPitchCounts,Number_1_STU,Number_2_VWX,Number_3_YZ,setBatterNumber,setHomeScore,setGuestScore,homePitchesPlusOne,guestPitchesPlusOne,clear_FlashHit,Number_0_&-.!,enter_FlashError,assignError,homeScorePlusOne,handheldButton1,guestScorePlusOne,handheldButton2,inningsPlusOne,handheldButton3,horn,periodClockOnOff,None
MP_BASEFOOT_G_H_CX4_baseball,setClock,setClockTenthSec,tenthSecOnOff,clockUpDown,Number_7_ABC,Number_8_DEF,Number_9_GHI,teamAtBat,blank,autoHorn,timeOfDay,timeOutTimer,Number_4_JKL,Number_5_MNO,Number_6_PQR,NewGame,ballsPlusOne,strikesPlusOne,outsPlusOne,setPitchCounts,Number_1_STU,Number_2_VWX,Number_3_YZ,setBatterNumber,setGuestScore,setHomeScore,guestPitchesPlusOne,homePitchesPlusOne,clear_FlashHit,Number_0_&-.!,enter_FlashError,assignError,guestScorePlusOne,handheldButton1,homeScorePlusOne,handheldButton2,inningsPlusOne,handheldButton3,horn,periodClockOnOff,None
MP_BASEFOOT_H_G_CX4_baseball,setClock,setClockTenthSec,tenthSecOnOff,clockUpDown,Number_7_ABC,Number_8_DEF,Number_9_GHI,teamAtBat,blank,autoHorn,timeOfDay,timeOutTimer,Number_4_JKL,Number_5_MNO,Number_6_PQR,NewGame,ballsPlusOne,strikesPlusOne,outsPlusOne,setPitchCounts,Number_1_STU,Number_2_VWX,Number_3_YZ,setBatterNumber,setHomeScore,setGuestScore,homePitchesPlusOne,guestPitchesPlusOne,clear_FlashHit,Number_0_&-.!,enter_FlashError,assignError,homeScorePlusOne,handheldButton1,guestScorePlusOne,handheldButton2,inningsPlusOne,handheldButton3,horn,periodClockOnOff,None
MP_BASEFOOT_G_H_CX4_football,setClock,setClockTenthSec,tenthSecOnOff,clockUpDown,Number_7_ABC,Number_8_DEF,Number_9_GHI,possession,playClocks,autoHorn,timeOfDay,timeOutTimer,Number_4_JKL,Number_5_MNO,Number_6_PQR,NewGame,setBallOn,downsPlusOne,setYardsToGo,blank,Number_1_STU,Number_2_VWX,Number_3_YZ,blank,setGuestScore,setHomeScore,guestTimeOutsMinusOne,homeTimeOutsMinusOne,clear,Number_0_&-.!,enter,blank,guestScorePlusOne,handheldButton1,homeScorePlusOne,handheldButton2,qtrs_periodsPlusOne,handheldButton3,horn,periodClockOnOff,None
MP_BASEFOOT_H_G_CX4_football,setClock,setClockTenthSec,tenthSecOnOff,clockUpDown,Number_7_ABC,Number_8_DEF,Number_9_GHI,possession,playClocks,autoHorn,timeOfDay,timeOutTimer,Number_4_JKL,Number_5_MNO,Number_6_PQR,NewGame,setBallOn,downsPlusOne,setYardsToGo,blank,Number_1_STU,Number_2_VWX,Number_3_YZ,blank,setHomeScore,setGuestScore,homeTimeOutsMinusOne,guestTimeOutsMinusOne,clear,Number_0_&-.!,enter,blank,homeScorePlusOne,handheldButton1,guestScorePlusOne,handheldButton2,qtrs_periodsPlusOne,handheldButton3,horn,periodClockOnOff,None
