model,sport,B,C,D,E,F,G,H,I,,
MMBASEBALL3,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Note:
MPBASEBALL1,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
MMBASEBALL4,MMBASEBALL4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
MPLINESCORE4,MPLINESCORE4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
MPLINESCORE5,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
MPMP-15X1,MPMP-15X1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,
MPMP-14X1,MPMP-14X1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
MPMULTISPORT1-baseball,MPMULTISPORT1-baseball,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
MPMULTISPORT1-football,MPMULTISPORT1-football,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
MPFOOTBALL1,MPFOOTBALL1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,
MMFOOTBALL4,MMFOOTBALL4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
MPBASKETBALL1,MPBASKETBALL1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
MPSOCCER_LX1-soccer,MPSOCCER_LX1-soccer,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,
MPSOCCER_LX1-football,MPSOCCER_LX1-football,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,
MPSOCCER1,MPSOCCER1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
MPHOCKEY_LX1,MPHOCKEY_LX1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,
MPHOCKEY1,MPHOCKEY1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,
MPCRICKET1,MPCRICKET1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
MPRACETRACK1,MPRACETRACK1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
MPLX3450-baseball,MPLX3450-baseball,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
MPLX3450-football,MPLX3450-football,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
MPGENERIC,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
MPSTAT,MPSTAT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1020,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1030,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1050,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1060,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1062,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1064,MPBASEBALL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1070,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1118,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1130,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1131,MPBASEBALL1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1132,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1135,MPBASEBALL1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1136,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1138,MPBASEBALL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1160,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1161,MPBASEBALL1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1162,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1164,MPBASEBALL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1165,MPBASEBALL1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1166,MPBASEBALL1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1168,MPBASEBALL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1240,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1241,MPBASEBALL1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1244,MPBASEBALL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1250,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1260,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1320,MPMULTISPORT1-baseball,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
LX1340,MMBASEBALL3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1341,MMBASEBALL3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LX1360,MPMULTISPORT1-baseball,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
LX1370,MPMULTISPORT1-baseball,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1371,MPMULTISPORT1-baseball,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1372,MPMULTISPORT1-baseball,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1373,MPMULTISPORT1-baseball,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1374,MPMULTISPORT1-baseball,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1376,MPMULTISPORT1-baseball,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1377,MPMULTISPORT1-baseball,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
LX1390,MPMULTISPORT1-baseball,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
LX1440,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1480,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1486,MPLINESCORE5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1620,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1630,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1631,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1632,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1633,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1634,MPLINESCORE5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1636,MPLINESCORE5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1637,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1700,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1710,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1711,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1712,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1713,MPLINESCORE5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
LX1714,MPLINESCORE5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
